,numWolves,sheepSpeedMultiplier,costActionRatio,rewardSensitivityToDistance,meanKill,seKill,meanTrajAction,seTrajAction,meanAgentAction,seAgentAction
858,5,0.75,0.015,2.0,8.29,0.24416878311698534,919.0810569931194,11.615358841075528,183.8162113986239,2.323071768215106
859,5,0.75,0.015,2.5,9.62,0.2780863095168319,1234.1025074586769,12.51691206116343,246.8205014917354,2.5033824122326855
860,5,0.75,0.015,10000.0,14.943333333333333,0.3168271611124597,1681.5644781430562,6.915372235254961,336.3128956286113,1.3830744470509921
861,5,0.75,0.02,0.0,0.08666666666666667,0.021050098617400915,197.5629171155393,0.7110068342985374,39.51258342310786,0.1422013668597075
862,5,0.75,0.02,0.5,0.03666666666666667,0.010868970626620933,49.82504639705255,0.45737089126186686,9.965009279410511,0.09147417825237338
863,5,0.75,0.02,1.0,0.12666666666666668,0.03223151111002284,329.67327267418307,0.956008939247768,65.9346545348366,0.19120178784955358
864,5,0.75,0.02,1.5,1.42,0.157922691104424,133.28961358010304,9.031482816639702,26.657922716020607,1.8062965633279404
865,5,0.75,0.02,2.0,2.57,0.20775194238614808,175.91503170226702,9.45699353446517,35.1830063404534,1.891398706893034
866,5,0.75,0.02,2.5,7.8533333333333335,0.22372010968344896,711.1553123427431,10.613983458857048,142.23106246854863,2.122796691771409
867,5,0.75,0.02,10000.0,13.06,0.29869504364316124,1524.4599363390605,11.787805846559618,304.89198726781206,2.3575611693119236
868,5,0.75,0.025,0.0,0.07333333333333333,0.0177893867707595,44.7420967582101,0.3708467598656009,8.94841935164202,0.07416935197312018
869,5,0.75,0.025,0.5,0.06333333333333334,0.018225842785035303,43.22450579173087,0.38285794480183616,8.644901158346174,0.07657158896036724
870,5,0.75,0.025,1.0,0.08,0.020604033547809077,182.439626178549,0.7777479634592784,36.487925235709795,0.1555495926918557
871,5,0.75,0.025,1.5,0.12666666666666668,0.03008473108108961,49.55287358782099,1.198606489638975,9.910574717564199,0.23972129792779504
872,5,0.75,0.025,2.0,0.74,0.11477863916652183,79.76480597007088,6.083562187837161,15.952961194014176,1.2167124375674323
873,5,0.75,0.025,2.5,1.4366666666666668,0.1483388760504151,143.9323695620615,9.19860221910962,28.7864739124123,1.8397204438219241
874,5,0.75,0.025,10000.0,11.753333333333334,0.28448836640640884,1308.3957984993856,12.177416317424223,261.6791596998771,2.4354832634848447
875,5,0.75,0.03,0.0,0.05333333333333334,0.016063789599786406,38.95095984881744,0.38361358080734703,7.790191969763488,0.0767227161614694
876,5,0.75,0.03,0.5,0.07,0.02442881497565584,37.084361090214614,0.34572639750866163,7.41687221804292,0.06914527950173233
877,5,0.75,0.03,1.0,0.043333333333333335,0.015094155131635123,179.6919218731237,0.6521543003209583,35.93838437462474,0.1304308600641917
878,5,0.75,0.03,1.5,0.09666666666666666,0.020635571961413045,184.52873779008786,0.7426709452934921,36.90574755801757,0.14853418905869842
879,5,0.75,0.03,2.0,0.07666666666666666,0.01924919221593944,30.46297476111135,0.554196289845621,6.09259495222227,0.11083925796912421
880,5,0.75,0.03,2.5,0.30666666666666664,0.07143899695641717,47.08084208092963,2.818389424644808,9.416168416185926,0.5636778849289616
881,5,0.75,0.03,10000.0,11.306666666666667,0.2978890178639587,1064.8270439719765,18.067349232797085,212.9654087943953,3.6134698465594166
882,5,0.875,0.0,0.0,0.08333333333333333,0.017322653428775057,767.7011747638385,1.5447427254776602,153.5402349527677,0.308948545095532
883,5,0.875,0.0,0.5,7.06,0.2793710087591715,1431.6164111423493,4.777649854339826,286.3232822284698,0.9555299708679652
884,5,0.875,0.0,1.0,9.156666666666666,0.3541698832564274,1642.791016480128,4.246194802393719,328.5582032960256,0.8492389604787438
885,5,0.875,0.0,1.5,9.853333333333333,0.3866724329712661,1705.1782519117992,2.5585117265858597,341.03565038235985,0.511702345317172
886,5,0.875,0.0,2.0,9.713333333333333,0.377803111922956,1724.4036915334066,2.6165144845798274,344.88073830668134,0.5233028969159655
887,5,0.875,0.0,2.5,10.146666666666667,0.39040251170369783,1711.3985031731922,2.6801005447723134,342.2797006346384,0.5360201089544626
888,5,0.875,0.0,10000.0,8.23,0.3300472923107383,1522.7036715920767,2.6910429611100963,304.54073431841533,0.5382085922220194
889,5,0.875,0.005,0.0,0.13666666666666666,0.026585019936500982,761.3088497400283,1.4191987463776627,152.26176994800568,0.28383974927553257
890,5,0.875,0.005,0.5,0.9666666666666667,0.1035418832670471,464.62773664424816,5.537322181017618,92.92554732884963,1.1074644362035237
891,5,0.875,0.005,1.0,9.516666666666667,0.37124810832360294,1611.288571287791,5.081435591674091,322.25771425755823,1.0162871183348183
892,5,0.875,0.005,1.5,8.8,0.34990044769889694,1679.9748503494263,3.479466385559078,335.9949700698852,0.6958932771118157
893,5,0.875,0.005,2.0,10.496666666666666,0.38240272867366454,1650.160661357244,4.9016537063716745,330.0321322714488,0.980330741274335
894,5,0.875,0.005,2.5,9.743333333333334,0.37035095390700573,1672.0213754558563,3.311248850745513,334.40427509117126,0.6622497701491027
895,5,0.875,0.005,10000.0,9.64,0.37028898895325296,1621.9475345579783,6.692073907050643,324.3895069115956,1.3384147814101286
896,5,0.875,0.01,0.0,0.09666666666666666,0.022197217444573532,257.73141270977754,3.3172630572465107,51.54628254195551,0.6634526114493021
897,5,0.875,0.01,0.5,0.10333333333333333,0.021063334622115175,394.9917963756124,2.8116646593672576,78.99835927512248,0.5623329318734516
898,5,0.875,0.01,1.0,1.1266666666666667,0.12399817790344425,277.30112936840703,5.428836133982924,55.46022587368141,1.0857672267965846
899,5,0.875,0.01,1.5,5.156666666666666,0.24048531075661658,752.9774101469914,11.651685152692446,150.59548202939826,2.330337030538489
900,5,0.875,0.01,2.0,8.723333333333333,0.33932250466215313,1429.892358287573,10.65532665949688,285.97847165751455,2.1310653318993755
901,5,0.875,0.01,2.5,10.193333333333333,0.36494660910751175,1483.0139764149983,8.794904445488655,296.6027952829997,1.7589808890977312
902,5,0.875,0.01,10000.0,9.09,0.3561620326957974,1503.751161974271,7.801972088036177,300.7502323948542,1.5603944176072353
903,5,0.875,0.015,0.0,0.056666666666666664,0.014945708759732076,69.06000947821265,0.5932515766199867,13.812001895642528,0.11865031532399735
904,5,0.875,0.015,0.5,0.13333333333333333,0.026431516158766478,623.0058336468537,1.2960265157218838,124.60116672937075,0.25920530314437673
